catagory,feature,C,microF1
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-100,0.001,0.568913578
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-200,0.001,0.5704880165
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-300,0.001,0.569309156
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-50,0.001,0.5671597039
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-100,0.001,0.5706526496
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-200,0.001,0.5652803600
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-300,0.001,0.5673074260
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-50,0.001,0.5666266970
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-25-300,0.001,0.5677091330
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-100,0.001,0.5684003991
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-200,0.001,0.5668337844
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-300,0.001,0.5655136307
LR_multi7,bert-elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-50,0.01,0.5651627859
