catagory,feature,C,microF1
LR_multi2,bert-emo2vec-300-300,0.0001,0.3799774954
LR_multi2,deepmoji-bert-300-300,1.0,0.06340057636
LR_multi2,deepmoji-elmo-300-300,0.1,0.1171548117
LR_multi2,deepmoji-emo2vec-300-300,1.0,0.2991035553
LR_multi2,deepmoji-glove-w2v-300-300,100.0,0.100506943
LR_multi2,elmo-bert-300-300,0.01,0.5790754257
LR_multi2,emoji-bert-100-300,10.0,0.0766475297
LR_multi2,emoji-bert-200-300,100.0,0.07857042550
LR_multi2,emoji-bert-300-300,100.0,0.08013187209
LR_multi2,emoji-bert-50-300,100.0,0.07867833386
LR_multi2,emoji-deepmoji-100-300,1.0,0.3046317631
LR_multi2,emoji-deepmoji-200-300,1.0,0.3048442929
LR_multi2,emoji-deepmoji-300-300,1.0,0.3084213132
LR_multi2,emoji-deepmoji-50-300,10.0,0.302763685
LR_multi2,emoji-elmo-100-300,100.0,0.1334332945
LR_multi2,glove-twitter-bert-200-300,0.001,0.4652736693
LR_multi2,glove-twitter-bert-25-300,0.001,0.318204634
LR_multi2,glove-twitter-bert-50-300,0.001,0.3847753920
LR_multi2,glove-twitter-deepmoji-100-300,0.001,0.5028273363
LR_multi2,glove-twitter-deepmoji-200-300,0.001,0.5392441217
LR_multi2,elmo-emo2vec-300-300,0.001,0.5985406349
LR_multi2,emoji-elmo-200-300,10.0,0.1530501389
LR_multi2,emoji-emo2vec-50-300,1.0,0.5184961190
LR_multi2,emoji-glove-twitter-50-100,0.001,0.5051376530
LR_multi2,emoji-glove-w2v-50-300,0.01,0.5316516176
LR_multi2,glove-twitter-bert-100-300,0.001,0.4409847041
LR_multi2,glove-twitter-deepmoji-25-300,0.001,0.3578138091
LR_multi2,glove-twitter-emo2vec-100-300,0.001,0.5535559640
LR_multi2,glove-twitter-glove-w2v-200-300,0.001,0.5557341270
LR_multi2,glove-twitter-deepmoji-50-300,0.001,0.4389271862
LR_multi2,glove-twitter-elmo-100-300,0.001,0.5095274346
LR_multi2,glove-twitter-elmo-200-300,0.001,0.5358313890
LR_multi2,glove-twitter-elmo-25-300,0.01,0.355604463
LR_multi2,glove-twitter-elmo-50-300,0.001,0.4417236014
LR_multi2,glove-twitter-emo2vec-200-300,0.001,0.5559218591
LR_multi2,glove-twitter-emo2vec-25-300,0.001,0.5099346103
LR_multi2,glove-twitter-emo2vec-50-300,0.001,0.5315802999
LR_multi2,glove-twitter-glove-common-100-300,0.001,0.5355558358
LR_multi2,glove-twitter-glove-common-200-300,0.001,0.5471416315
LR_multi2,glove-twitter-glove-common-25-300,0.001,0.5256586853
LR_multi2,glove-twitter-glove-common-50-300,100.0,0.5306350400
LR_multi2,glove-twitter-glove-w2v-100-300,0.001,0.5395139473
LR_multi2,glove-twitter-glove-w2v-25-300,0.001,0.5104222610
LR_multi2,glove-twitter-glove-w2v-50-300,0.001,0.5260049012
LR_multi2,glove-w2v-bert-300-300,0.001,0.4456308429
LR_multi2,glove-w2v-elmo-300-300,0.001,0.5184023744
LR_multi2,glove-w2v-emo2vec-300-300,0.001,0.5668996054
LR_multi2,emoji-glove-common-100-300,1.0,0.5577977215
LR_multi2,emoji-glove-common-200-300,0.1,0.5727134942
LR_multi2,emoji-glove-common-300-300,1.0,0.5738058227
LR_multi2,emoji-glove-common-50-300,100.0,0.5535766277
LR_multi2,emoji-glove-twitter-100-100,0.001,0.5103712424
LR_multi2,emoji-glove-twitter-100-200,0.001,0.5471108458
LR_multi2,emoji-glove-twitter-100-25,0.01,0.3723138687
LR_multi2,emoji-glove-twitter-100-50,0.001,0.4538813038
LR_multi2,emoji-glove-twitter-200-100,0.001,0.5125494997
LR_multi2,emoji-glove-twitter-200-200,0.001,0.5460965960
LR_multi2,emoji-glove-twitter-200-25,0.1,0.377743822
LR_multi2,glove-common-bert-300-300,0.001,0.4620954030
LR_multi2,glove-common-deepmoji-300-300,0.01,0.5473657123
LR_multi2,glove-common-elmo-300-300,0.001,0.5377434188
LR_multi2,glove-common-emo2vec-300-300,0.001,0.5713618256
LR_multi2,glove-common-glove-w2v-300-300,0.001,0.5664791653
LR_multi2,emoji-glove-twitter-50-200,0.001,0.5400000265
LR_multi2,emoji-glove-twitter-50-25,0.01,0.3630024500
LR_multi2,emoji-glove-twitter-50-50,0.001,0.4468547743
LR_multi2,emoji-glove-w2v-100-300,0.01,0.5385702378
LR_multi2,emoji-glove-w2v-200-300,0.01,0.5448718427
LR_multi2,emoji-glove-w2v-300-300,0.1,0.5534410004
LR_multi2,emoji-glove-twitter-200-50,0.001,0.4635000595
LR_multi2,emoji-glove-twitter-300-100,0.001,0.5180843573
LR_multi2,emoji-glove-twitter-300-200,0.001,0.5508348574
LR_multi2,emoji-glove-twitter-300-25,100.0,0.3843811308
LR_multi2,emoji-glove-twitter-300-50,1.0,0.4617975842
LR_multi2,emoji-elmo-300-300,0.01,0.1596819668
LR_multi2,emoji-elmo-50-300,10.0,0.1242276531
LR_multi2,emoji-emo2vec-100-300,1.0,0.5290458996
LR_multi2,emoji-emo2vec-200-300,1.0,0.5374713268
LR_multi2,emoji-emo2vec-300-300,1.0,0.5436440639
