catagory,feature,C,microF1
LR_multi6,bert-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-300,0.001,0.3864826031
LR_multi6,bert-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-100,0.001,0.3872789803
LR_multi6,bert-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-200,0.001,0.3880276790
LR_multi6,bert-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-300,0.001,0.3869020795
LR_multi6,bert-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-50,0.001,0.3875132278
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-100,0.001,0.5879626034
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-25-50,0.001,0.5851868711
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-100,0.001,0.5865930351
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-200,0.001,0.5877764595
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-300,0.001,0.5878127635
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-50-50,0.001,0.5920861918
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-300,0.001,0.5863365585
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-50,0.001,0.5857447346
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-25-100,0.001,0.5872353023
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-25-200,0.01,0.5787831813
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-300,0.001,0.5849288586
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-50,0.001,0.5886115108
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-100,0.001,0.5838514390
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-100-200,0.001,0.5894254840
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-200-200,0.001,0.5882370793
LR_multi6,elmo-glove-w2v-deepmoji-glove-common-glove-twitter-emoji-25-300,0.001,0.5873865752
